Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor,Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Local Outlier Factor (LOF),Minimum Covariance Determinant (MCD),One-class SVM (OCSVM),Principal Component Analysis (PCA),naive_Average,naive_Maximization,naive_Aom,naive_Moa,Fixed SPEC Average_6,Fixed SPEC Maximization_6,Fixed SPEC Aom_6,Fixed SPEC Moa_6,Generic SPEC Average_6,Generic SPEC Maximization_6,Generic SPEC Aom_6,Generic SPEC Moa_6,NormalizedCut Average_6,NormalizedCut Maximization_6,NormalizedCut Aom_6,NormalizedCut Moa_6,Lasso Average_6,Lasso Maximization_6,Lasso Aom_6,Lasso Moa_6,WKMeans Average_6,WKMeans Maximization_6,WKMeans Aom_6,WKMeans Moa_6
-0.2857,-0.2857,-0.2857,-0.4643,-0.4643,-0.2857,-0.3214,-0.3214,-0.2857,-0.2857,-0.3929,-0.4286,-0.4286,-0.3214,-0.3571,-0.4286,-0.3929,-0.3929,-0.3571,-0.4286,-0.3929,-0.4286,-0.4643,-0.4643,-0.4286,-0.4643,-0.2857,-0.2857,-0.2857,-0.2857,-0.4643,-0.4643,-0.3929,-0.4643
-0.2603,-0.5068,-0.1781,-0.4521,-0.5342,-0.3288,-0.2192,-0.3973,-0.5068,-0.6438,-0.3562,-0.4247,-0.4521,-0.3836,-0.411,-0.4384,-0.4795,-0.3836,-0.3288,-0.4932,-0.3288,-0.5753,-0.4521,-0.4384,-0.411,-0.5068,-0.4658,-0.4384,-0.4932,-0.4384,-0.3425,-0.4247,-0.4384,-0.411
-0.4,-0.2,-0.4,-0.2,-0.2,-0.2,-0.4,-0.0,-0.2,-0.2,-0.2,-0.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.84,-0.84,-0.8,-0.38,-0.68,-0.92,-0.8,-0.88,-0.78,-0.62,-0.84,-0.66,-0.78,-0.76,-0.84,-0.74,-0.8,-0.82,-0.84,-0.74,-0.82,-0.76,-0.82,-0.64,-0.78,-0.68,-0.76,-0.62,-0.64,-0.66,-0.78,-0.62,-0.66,-0.72
-0.3226,-0.2581,-0.2581,-0.0645,-0.0968,-0.3226,-0.2581,-0.1935,-0.1613,-0.0323,-0.1935,-0.2581,-0.1613,-0.2258,-0.1613,-0.1613,-0.129,-0.1613,-0.2258,-0.2903,-0.2903,-0.2258,-0.1613,-0.1613,-0.0968,-0.1613,-0.0968,-0.129,-0.1935,-0.1613,-0.1613,-0.1613,-0.1613,-0.1935
-0.5,-0.5,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
-0.3767,-0.4452,-0.3767,-0.1062,-0.2603,-0.4349,-0.3767,-0.3048,-0.4075,-0.3973,-0.3733,-0.3048,-0.3493,-0.3493,-0.3425,-0.3048,-0.3425,-0.3253,-0.3493,-0.2432,-0.3288,-0.3116,-0.3425,-0.3048,-0.3288,-0.3116,-0.4041,-0.3493,-0.387,-0.363,-0.3664,-0.3082,-0.3425,-0.3185
-0.0455,-1.0,-0.25,-0.9773,-0.9545,-0.4091,-0.25,-1.0,-1.0,-1.0,-0.9091,-0.9545,-0.9773,-1.0,-0.9545,-1.0,-1.0,-1.0,-0.9545,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6364,-0.8182,-0.75,-0.7045
-0.0333,-0.0,-0.0,-0.2333,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0667,-0.0167,-0.0833,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.1194,-0.3433,-0.1194,-0.2687,-0.3433,-0.1493,-0.1194,-0.0597,-0.3433,-0.2985,-0.2687,-0.1791,-0.3134,-0.2537,-0.2239,-0.1791,-0.2985,-0.194,-0.1493,-0.1642,-0.1343,-0.1493,-0.3134,-0.2388,-0.3433,-0.3134,-0.3134,-0.2388,-0.3433,-0.3433,-0.209,-0.1791,-0.1791,-0.2836
-0.5812,-0.5385,-0.4872,-0.547,-0.547,-0.6154,-0.5043,-0.6068,-0.5299,-0.5726,-0.5983,-0.5726,-0.5897,-0.5812,-0.5897,-0.5726,-0.5983,-0.5897,-0.5812,-0.5641,-0.5726,-0.547,-0.5897,-0.5726,-0.5897,-0.5897,-0.5726,-0.5726,-0.5726,-0.5812,-0.6068,-0.5641,-0.5983,-0.6239
-0.401,-0.551,-0.4182,-0.5707,-0.6076,-0.5006,-0.4133,-0.6777,-0.5326,-0.476,-0.5929,-0.6261,-0.6187,-0.6125,-0.556,-0.6089,-0.5916,-0.5756,-0.5843,-0.5732,-0.5904,-0.5966,-0.556,-0.6089,-0.5953,-0.5707,-0.5781,-0.6039,-0.5978,-0.583,-0.5806,-0.6261,-0.615,-0.5879
-0.12,-0.84,-0.08,-0.6,-0.72,-0.36,-0.04,-0.56,-0.84,-0.68,-0.64,-0.64,-0.64,-0.52,-0.84,-0.64,-0.84,-0.84,-0.8,-0.64,-0.84,-0.8,-0.4,-0.44,-0.4,-0.44,-0.6,-0.64,-0.68,-0.52,-0.64,-0.6,-0.76,-0.68
-0.2129,-0.2306,-0.1641,-0.9918,-0.9279,-0.2449,-0.1648,-0.7348,-0.9512,-0.947,-0.9229,-0.9165,-0.9533,-0.9314,-0.8918,-0.9512,-0.9427,-0.9484,-0.7461,-0.8281,-0.8197,-0.8338,-0.9321,-0.9576,-0.9413,-0.9576,-0.925,-0.9583,-0.9519,-0.9554,-0.925,-0.9583,-0.9243,-0.9554
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.4211,-0.2632,-0.2105,-0.1053,-0.1579,-0.4211,-0.2105,-0.0,-0.3158,-0.1579,-0.3158,-0.2632,-0.2632,-0.3158,-0.3158,-0.2105,-0.3158,-0.3158,-0.3158,-0.2632,-0.3158,-0.3158,-0.3158,-0.2105,-0.3684,-0.3158,-0.3158,-0.2632,-0.2632,-0.3158,-0.3158,-0.1579,-0.3158,-0.3158
-0.125,-0.5,-0.5,-0.75,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.625,-0.5,-0.5,-0.5,-0.625,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.625,-0.5,-0.5,-0.5,-0.625,-0.5,-0.5,-0.5,-0.625,-0.5,-0.625
