,Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor,Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Local Outlier Factor (LOF),Minimum Covariance Determinant (MCD),One-class SVM (OCSVM),Principal Component Analysis (PCA),Fixed SPEC Average_6,Fixed SPEC Maximization_6,Fixed SPEC Aom_6,Fixed SPEC Moa_6,Generic SPEC Average_6,Generic SPEC Maximization_6,Generic SPEC Aom_6,Generic SPEC Moa_6,NormalizedCut Average_6,NormalizedCut Maximization_6,NormalizedCut Aom_6,NormalizedCut Moa_6,Lasso Average_6,Lasso Maximization_6,Lasso Aom_6,Lasso Moa_6,WKMeans Average_6,WKMeans Maximization_6,WKMeans Aom_6,WKMeans Moa_6
0,-0.3571,-0.4643,-0.5,-0.5714,-0.5714,-0.5,-0.4643,-0.4286,-0.5,-0.5,-0.5357,-0.5357,-0.5,-0.5714,-0.5,-0.3571,-0.5,-0.5,-0.5357,-0.5357,-0.5357,-0.5714,-0.5714,-0.5357,-0.5357,-0.5357,-0.5357,-0.5357,-0.5,-0.5357
1,-0.1875,-0.4844,-0.1406,-0.4688,-0.5,-0.2812,-0.125,-0.3906,-0.5938,-0.6875,-0.2656,-0.375,-0.3594,-0.2969,-0.5312,-0.5469,-0.5938,-0.5781,-0.2969,-0.375,-0.4062,-0.4062,-0.4688,-0.4844,-0.4531,-0.4688,-0.2812,-0.375,-0.3594,-0.3125
2,-0.25,-0.25,-0.25,-0.0,-0.25,-0.25,-0.25,-0.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
3,-0.8214,-0.8036,-0.75,-0.3393,-0.6607,-0.8393,-0.75,-0.8571,-0.7143,-0.5893,-0.7321,-0.5893,-0.6607,-0.6071,-0.7857,-0.6964,-0.75,-0.75,-0.6964,-0.5893,-0.6607,-0.625,-0.6607,-0.5714,-0.5893,-0.5893,-0.6607,-0.5714,-0.5893,-0.5893
4,-0.275,-0.175,-0.4,-0.125,-0.05,-0.3,-0.325,-0.075,-0.1,-0.05,-0.225,-0.225,-0.175,-0.3,-0.225,-0.225,-0.2,-0.225,-0.2,-0.25,-0.225,-0.175,-0.225,-0.275,-0.25,-0.225,-0.1,-0.1,-0.175,-0.1
5,-0.4,-0.6,-0.6,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,-0.6,-0.8,-0.6,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,-0.8,-0.6,-0.8,-0.8,-0.8,-0.8,-0.6,-0.8,-0.8,-0.8
6,-0.3562,-0.4007,-0.3664,-0.1199,-0.2979,-0.4144,-0.339,-0.3973,-0.3801,-0.3767,-0.3733,-0.3938,-0.3527,-0.4144,-0.2945,-0.2911,-0.2842,-0.2637,-0.3767,-0.3938,-0.363,-0.3699,-0.3562,-0.3288,-0.3527,-0.3185,-0.3767,-0.3938,-0.3733,-0.4041
7,-0.0333,-1.0,-0.1667,-0.9667,-0.9333,-0.2333,-0.1333,-0.9667,-1.0,-1.0,-0.5,-0.8,-0.6333,-0.9333,-0.9,-1.0,-1.0,-1.0,-0.8667,-0.8667,-0.9667,-0.7667,-0.9333,-0.8333,-1.0,-1.0,-0.4333,-0.6333,-0.5333,-0.5667
8,-0.0161,-0.0,-0.0484,-0.2581,-0.0161,-0.0,-0.0484,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0484,-0.1129,-0.0484,-0.0968,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0323,-0.0,-0.0161,-0.0161,-0.0323,-0.0161,-0.0
9,-0.0308,-0.3077,-0.0462,-0.2615,-0.2769,-0.0462,-0.0462,-0.0615,-0.2923,-0.3385,-0.2462,-0.2154,-0.2462,-0.2154,-0.0923,-0.1231,-0.1231,-0.1077,-0.2769,-0.2154,-0.2769,-0.2615,-0.2769,-0.2154,-0.2462,-0.2923,-0.1077,-0.1231,-0.2,-0.2
10,-0.5106,-0.4681,-0.4468,-0.5213,-0.4787,-0.5106,-0.4787,-0.4787,-0.4574,-0.5,-0.4681,-0.5,-0.4787,-0.4894,-0.4787,-0.4894,-0.4787,-0.4894,-0.4681,-0.4894,-0.4787,-0.5106,-0.4574,-0.4681,-0.4787,-0.4681,-0.5,-0.4894,-0.5106,-0.5106
11,-0.3918,-0.5574,-0.4051,-0.5466,-0.5719,-0.4994,-0.4051,-0.6747,-0.5224,-0.4559,-0.5466,-0.5913,-0.5901,-0.578,-0.5744,-0.5756,-0.5756,-0.5756,-0.5466,-0.5913,-0.5792,-0.5538,-0.5719,-0.5985,-0.5816,-0.5877,-0.5901,-0.5925,-0.5913,-0.5937
12,-0.2593,-0.8889,-0.0741,-0.5926,-0.8889,-0.3704,-0.0741,-0.5185,-0.9259,-0.8519,-0.2963,-0.5185,-0.3846,-0.2963,-0.8519,-0.6923,-0.8889,-0.8889,-0.3333,-0.6667,-0.4074,-0.2222,-0.4815,-0.7407,-0.4444,-0.8889,-0.5556,-0.7407,-0.6667,-0.6667
13,-0.1918,-0.2336,-0.111,-0.9857,-0.9308,-0.2199,-0.1406,-0.7534,-0.9553,-0.9503,-0.8991,-0.9553,-0.9402,-0.9553,-0.9315,-0.9553,-0.9488,-0.9539,-0.9286,-0.8032,-0.9459,-0.889,-0.9293,-0.9611,-0.9589,-0.9632,-0.9113,-0.8032,-0.9539,-0.7455
14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
15,-0.4706,-0.4118,-0.3529,-0.1765,-0.1765,-0.5294,-0.4118,-0.0,-0.2941,-0.1176,-0.2353,-0.2941,-0.2353,-0.2941,-0.2941,-0.4118,-0.2941,-0.3529,-0.2941,-0.4118,-0.2941,-0.2941,-0.2353,-0.4118,-0.2353,-0.4118,-0.2941,-0.2941,-0.2941,-0.2941
16,-0.3,-0.6,-0.5,-0.7,-0.5,-0.5,-0.4,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.4,-0.4,-0.5,-0.6,-0.7,-0.6,-0.6,-0.5,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7,-0.6
